"Time","AirTran Airways Corporation: FL, #","Alaska Airlines Inc.: AS, #","Allegiant Air: G4, #","American Airlines Inc.: AA, #","Comair Inc.: OH (1), #","Continental Air Lines Inc.: CO, #","Delta Air Lines Inc.: DL, #","Endeavor Air Inc.: 9E, #","Envoy Air: MQ, #","ExpressJet Airlines Inc.: XE, #","ExpressJet Airlines LLC: EV, #","Frontier Airlines Inc.: F9, #","Hawaiian Airlines Inc.: HA, #","Horizon Air: QX, #","JetBlue Airways: B6, #","Mesa Airlines Inc.: YV, #","PSA Airlines Inc.: OH, #","Republic Airline: YX, #","SkyWest Airlines Inc.: OO, #","Southwest Airlines Co.: WN, #","Spirit Air Lines: NK, #","United Air Lines Inc.: UA, #","US Airways Inc.: US (Merged with America West 9/05, #","Virgin America: VX, #"
"08/02/2013",529,486,,1560,,,2364,948,1305,,2300,244,227,,726,444,,,1890,3396,,1513,1233,180
"08/03/2013",488,461,,1427,,,2055,699,1079,,1920,198,201,,692,403,,,1632,2836,,1262,997,159
"08/04/2013",513,475,,1534,,,2307,934,1264,,2227,217,206,,724,430,,,1843,3142,,1410,1116,169
"08/05/2013",531,484,,1557,,,2337,949,1306,,2305,239,213,,720,442,,,1898,3394,,1512,1230,179
"08/06/2013",528,481,,1555,,,2313,941,1304,,2245,225,205,,716,428,,,1879,3394,,1513,1170,173
"08/07/2013",537,476,,1556,,,2321,947,1304,,2263,229,209,,716,440,,,1890,3394,,1518,1223,171
"08/08/2013",526,483,,1560,,,2341,949,1306,,2303,234,211,,720,442,,,1897,3394,,1507,1225,175
"08/09/2013",527,486,,1561,,,2365,948,1305,,2303,244,226,,722,446,,,1889,3396,,1509,1231,178
"08/10/2013",482,461,,1427,,,2058,698,1079,,1918,197,201,,688,403,,,1631,2795,,1261,995,159
"08/11/2013",467,475,,1533,,,2295,937,1264,,2233,213,208,,720,428,,,1847,2956,,1421,1113,169
"08/12/2013",475,487,,1558,,,2332,949,1306,,2311,237,213,,718,442,,,1889,3226,,1508,1230,179
"08/13/2013",466,482,,1555,,,2276,941,1304,,2104,226,205,,718,426,,,1786,3226,,1472,1170,173
"08/14/2013",469,476,,1556,,,2299,943,1304,,2109,228,207,,716,438,,,1790,3226,,1475,1225,171
"08/15/2013",473,483,,1560,,,2341,945,1306,,2267,240,207,,720,440,,,1870,3226,,1537,1226,175
"08/16/2013",473,486,,1560,,,2341,950,1305,,2267,243,223,,722,440,,,1863,3228,,1527,1231,178
"08/17/2013",409,461,,1427,,,2025,694,1079,,1737,213,200,,688,398,,,1581,2364,,1230,995,159
"08/18/2013",456,475,,1533,,,2294,933,1264,,2120,222,207,,720,418,,,1800,2956,,1403,1113,169
"08/19/2013",474,485,,1558,,,2309,943,1306,,2284,237,206,,717,429,,,1871,3228,,1529,1179,175
"08/20/2013",466,480,,1555,,,2204,877,1304,,2063,174,198,,708,407,,,1750,3228,,1463,1110,160
"08/21/2013",469,474,,1556,,,2237,890,1304,,2076,233,202,,705,420,,,1768,3228,,1481,1171,167
"08/22/2013",473,482,,1560,,,2277,892,1306,,2230,234,204,,708,422,,,1850,3228,,1537,1174,174
"08/23/2013",473,484,,1561,,,2285,890,1305,,2232,242,220,,710,422,,,1848,3226,,1527,1177,179
"08/24/2013",408,455,,1427,,,1931,561,1079,,1620,210,195,,680,384,,,1498,2364,,1221,935,127
"08/25/2013",456,441,,1533,,,2195,850,1262,,2073,218,200,,707,398,,,1779,2954,,1408,1070,162
"08/26/2013",474,452,,1527,,,2263,895,1303,,2243,239,203,,701,387,,,1847,3218,,1525,1103,175
"08/27/2013",466,443,,1438,,,2202,872,1245,,2119,171,194,,696,397,,,1691,3218,,1330,1108,160
"08/28/2013",469,437,,1454,,,2235,896,1250,,2130,229,198,,695,414,,,1731,3218,,1342,1171,165
"08/29/2013",473,447,,1503,,,2258,899,1266,,2270,236,200,,712,433,,,1828,3218,,1435,1226,174
"08/30/2013",469,453,,1506,,,2276,899,1264,,2270,245,217,,716,427,,,1826,3203,,1424,1157,179
"08/31/2013",372,412,,1167,,,1630,479,826,,1391,174,192,,667,332,,,1319,2083,,1129,806,120
"09/01/2013",402,422,,1200,,,1575,433,881,,1292,174,195,,650,333,,,1284,2186,,1055,853,126
"09/02/2013",459,450,,1419,,,2084,714,1141,,2061,242,198,,712,406,,,1741,2699,,1396,1097,170
"09/03/2013",421,428,,1450,,,2048,808,1248,,2194,225,190,,683,401,,,1721,3214,,1431,1110,165
"09/04/2013",424,420,,1458,,,2160,842,1250,,2088,238,194,,587,410,,,1656,3214,,1349,1154,164
"09/05/2013",421,430,,1505,,,2199,848,1266,,2222,240,196,,650,411,,,1768,3214,,1444,1178,173
"09/06/2013",426,437,,1508,,,2200,846,1264,,2230,239,211,,656,424,,,1768,3177,,1438,1186,176
"09/07/2013",381,394,,1214,,,1702,477,906,,1461,221,186,,534,331,,,1378,2348,,1129,828,122
"09/08/2013",421,428,,1486,,,2127,809,1200,,2094,228,192,,641,401,,,1716,2940,,1359,1120,161
"09/09/2013",428,435,,1503,,,2214,856,1266,,2252,239,196,,644,393,,,1761,3202,,1437,1108,170
"09/10/2013",415,422,,1450,,,2068,812,1248,,2081,179,189,,567,364,,,1606,3202,,1318,1010,160
"09/11/2013",419,420,,1458,,,2074,803,1250,,2039,228,192,,577,409,,,1646,3202,,1338,1154,162
"09/12/2013",429,431,,1505,,,2229,852,1266,,2248,236,196,,647,417,,,1769,3202,,1438,1220,167
"09/13/2013",428,436,,1508,,,2212,861,1264,,2255,242,208,,656,424,,,1774,3190,,1432,1181,173
"09/14/2013",382,393,,1214,,,1692,474,906,,1456,167,186,,529,329,,,1384,2345,,1132,828,118
"09/15/2013",419,425,,1486,,,2122,805,1200,,2081,220,193,,639,404,,,1723,2942,,1358,1117,157
"09/16/2013",431,431,,1503,,,2204,859,1266,,2251,241,195,,644,394,,,1763,3210,,1439,1109,169
"09/17/2013",412,418,,1450,,,2065,810,1248,,2088,174,188,,568,364,,,1610,3210,,1317,1010,160
"09/18/2013",410,418,,1458,,,2174,852,1250,,2113,223,192,,578,405,,,1647,3210,,1337,1157,162
"09/19/2013",429,427,,1505,,,2209,862,1266,,2244,234,195,,651,413,,,1772,3210,,1443,1221,169
"09/20/2013",429,433,,1507,,,2203,864,1264,,2253,233,209,,657,418,,,1766,3187,,1435,1185,173
"09/21/2013",384,388,,1214,,,1692,484,906,,1448,169,188,,537,323,,,1372,2346,,1133,828,120
"09/22/2013",421,424,,1486,,,2114,815,1200,,2077,213,192,,644,398,,,1713,2946,,1353,1118,161
"09/23/2013",428,427,,1503,,,2199,866,1266,,2255,240,194,,646,388,,,1762,3194,,1437,1108,169
"09/24/2013",416,412,,1450,,,2062,819,1248,,2079,174,188,,569,358,,,1603,3194,,1327,1010,160
"09/25/2013",416,412,,1458,,,2165,858,1250,,2100,223,192,,578,404,,,1638,3194,,1395,1156,162
"09/26/2013",427,423,,1505,,,2213,871,1266,,2254,231,195,,652,409,,,1739,3194,,1494,1222,169
"09/27/2013",428,426,,1508,,,2182,874,1264,,2261,232,207,,658,416,,,1741,3190,,1475,1183,173
"09/28/2013",386,387,,1214,,,1691,488,906,,1454,166,186,,535,322,,,1340,2336,,1160,829,118
"09/29/2013",430,417,,1486,,,2116,823,1200,,2136,210,193,,644,400,,,1691,2910,,1402,1121,161
"09/30/2013",434,417,,1499,,,2196,868,1265,,2260,236,195,,649,386,,,1733,3186,,1481,1111,169
"10/01/2013",425,406,,1457,,,2097,821,1233,,2075,173,188,,583,359,,,1604,3186,,1374,1010,160
"10/02/2013",430,404,,1470,,,2203,852,1238,,2110,217,192,,590,407,,,1658,3186,,1400,1164,162
"10/03/2013",436,417,,1515,,,2240,873,1252,,2239,230,195,,662,418,,,1764,3186,,1497,1238,169
"10/04/2013",434,419,,1518,,,2209,881,1250,,2236,238,207,,663,406,,,1762,3162,,1481,1198,169
"10/05/2013",391,376,,1224,,,1696,502,897,,1460,171,185,,559,331,,,1348,2468,,1161,912,118
"10/06/2013",429,412,,1494,,,2156,846,1187,,2124,213,191,,651,396,,,1709,2915,,1408,1122,160
"10/07/2013",432,419,,1513,,,2212,878,1252,,2240,240,193,,661,409,,,1756,3190,,1486,1197,169
"10/08/2013",419,407,,1460,,,2106,817,1236,,2059,173,186,,594,405,,,1632,3190,,1367,1177,160
"10/09/2013",428,404,,1469,,,2209,859,1238,,2098,220,192,,599,411,,,1665,3190,,1396,1195,162
"10/10/2013",436,417,,1515,,,2246,880,1252,,2229,231,192,,662,419,,,1765,3190,,1493,1237,169
"10/11/2013",435,417,,1517,,,2181,874,1250,,2240,236,207,,670,410,,,1762,3162,,1475,1194,170
"10/12/2013",397,377,,1224,,,1641,457,897,,1426,164,184,,559,317,,,1335,2468,,1163,853,120
"10/13/2013",429,411,,1493,,,2079,749,1187,,2079,218,190,,653,396,,,1697,2915,,1411,1063,161
"10/14/2013",434,419,,1513,,,2210,878,1252,,2238,239,193,,663,413,,,1757,3190,,1486,1182,168
"10/15/2013",423,407,,1460,,,2099,817,1236,,2061,172,186,,589,407,,,1630,3190,,1367,1180,160
"10/16/2013",434,404,,1470,,,2201,855,1238,,2104,216,190,,594,417,,,1669,3190,,1396,1235,162
"10/17/2013",438,417,,1515,,,2243,880,1252,,2230,230,194,,658,419,,,1763,3190,,1493,1231,169
"10/18/2013",435,415,,1518,,,2204,884,1250,,2225,235,207,,662,414,,,1771,3162,,1479,1231,171
"10/19/2013",399,378,,1224,,,1703,501,897,,1449,166,185,,554,331,,,1350,2468,,1164,910,120
"10/20/2013",431,412,,1496,,,2160,845,1187,,2121,214,192,,647,398,,,1706,2915,,1413,1116,161
"10/21/2013",433,419,,1513,,,2211,880,1252,,2235,239,195,,653,411,,,1757,3190,,1487,1190,167
"10/22/2013",422,407,,1460,,,2106,814,1236,,2057,172,189,,587,407,,,1632,3190,,1367,1174,160
"10/23/2013",430,404,,1470,,,2207,854,1238,,2100,216,193,,594,411,,,1663,3190,,1396,1189,163
"10/24/2013",436,417,,1515,,,2244,886,1252,,2225,228,195,,660,419,,,1762,3190,,1490,1231,169
"10/25/2013",433,418,,1518,,,2202,887,1250,,2238,240,212,,665,408,,,1762,3162,,1472,1192,170
"10/26/2013",397,378,,1224,,,1705,496,897,,1450,166,187,,564,331,,,1348,2468,,1165,910,122
"10/27/2013",429,410,,1496,,,2167,850,1187,,2113,211,193,,652,392,,,1706,2915,,1412,1073,161
"10/28/2013",434,419,,1513,,,2214,881,1254,,2237,236,195,,652,381,,,1757,3190,,1487,1130,168
"10/29/2013",423,407,,1460,,,2104,819,1236,,2055,171,189,,609,411,,,1632,3190,,1373,1182,160
"10/30/2013",428,404,,1470,,,2207,860,1238,,2094,214,193,,614,415,,,1663,3190,,1402,1201,162
"10/31/2013",397,417,,1515,,,1982,706,1252,,1899,228,195,,659,387,,,1456,2887,,1285,1115,169
"11/01/2013",436,418,,1518,,,2214,887,1239,,2201,233,212,,664,419,,,1753,3161,,1479,1213,168
"11/02/2013",337,381,,1224,,,1682,498,887,,1471,161,188,,587,363,,,1350,2448,,1159,947,130
"11/03/2013",376,412,,1496,,,2115,793,1173,,2082,208,194,,660,398,,,1697,2782,,1412,1072,161
"11/04/2013",388,431,,1513,,,2216,869,1238,,2197,229,195,,654,385,,,1747,3184,,1495,1130,168
"11/05/2013",386,401,,1460,,,2093,810,1222,,2014,171,189,,613,404,,,1581,3184,,1391,1182,158
"11/06/2013",388,414,,1470,,,2197,856,1224,,2053,214,193,,618,407,,,1651,3184,,1404,1201,162
"11/07/2013",388,428,,1515,,,2228,866,1238,,2197,226,195,,663,417,,,1739,3184,,1490,1249,169
"11/08/2013",396,431,,1518,,,2205,872,1236,,2194,232,212,,670,411,,,1735,3162,,1458,1225,169
"11/09/2013",373,390,,1224,,,1681,492,887,,1494,159,188,,599,364,,,1361,2535,,1144,949,124
"11/10/2013",380,415,,1496,,,2117,782,1173,,2022,208,194,,668,395,,,1675,2784,,1376,1110,158
"11/11/2013",388,432,,1513,,,2207,869,1238,,2179,233,196,,658,377,,,1731,3184,,1468,1140,168
"11/12/2013",388,406,,1460,,,2097,812,1222,,2019,174,190,,617,399,,,1588,3184,,1373,1182,160
"11/13/2013",388,417,,1470,,,2200,856,1224,,2055,219,193,,624,409,,,1651,3184,,1402,1201,160
"11/14/2013",388,427,,1515,,,2226,868,1238,,2197,231,194,,664,412,,,1735,3184,,1489,1250,167
"11/15/2013",396,427,,1518,,,2198,880,1236,,2196,230,210,,669,410,,,1733,3162,,1461,1224,167
"11/16/2013",374,389,,1224,,,1674,498,887,,1498,197,186,,602,362,,,1353,2537,,1138,948,121
"11/17/2013",379,413,,1496,,,2122,790,1173,,2026,210,192,,668,394,,,1674,2784,,1374,1110,155
"11/18/2013",388,432,,1517,,,2217,878,1237,,2185,230,193,,660,376,,,1728,3184,,1469,1141,167
"11/19/2013",388,406,,1460,,,2104,816,1222,,2010,210,187,,624,397,,,1586,3184,,1372,1183,159
"11/20/2013",388,419,,1463,,,2215,859,1211,,2045,217,192,,629,412,,,1648,3184,,1403,1198,162
"11/21/2013",394,431,,1520,,,2237,878,1158,,2193,227,194,,687,420,,,1730,3184,,1489,1246,172
"11/22/2013",459,431,,1540,,,2232,874,1167,,2197,228,210,,704,430,,,1731,3345,,1458,1254,174
"11/23/2013",370,400,,1337,,,1692,492,900,,1511,195,186,,680,371,,,1359,2536,,1151,959,167
"11/24/2013",373,418,,1510,,,1953,594,1114,,1927,216,192,,712,396,,,1553,2788,,1382,1069,174
"11/25/2013",385,434,,1535,,,1973,644,1172,,1804,233,194,,713,358,,,1467,3188,,1278,1114,175
"11/26/2013",449,409,,1488,,,2195,820,1162,,1979,237,188,,718,418,,,1590,3376,,1329,1282,174
"11/27/2013",450,414,,1487,,,2250,879,1164,,2188,231,192,,728,428,,,1743,3376,,1486,1294,172
"11/28/2013",293,345,,1014,,,1306,380,728,,1189,178,193,,520,222,,,990,1958,,900,626,126
"11/29/2013",341,388,,1366,,,1440,352,924,,1280,192,210,,648,289,,,1137,2388,,1047,762,148
"11/30/2013",452,406,,1336,,,2046,712,900,,2118,202,186,,678,413,,,1653,3096,,1380,1096,170
"12/01/2013",457,420,,1510,,,2319,889,1114,,2282,224,192,,716,441,,,1722,3522,,1520,1239,175
"12/02/2013",435,436,,1526,,,2243,876,1172,,2197,232,193,,719,423,,,1725,3386,,1483,1291,174
"12/03/2013",374,408,,1478,,,2002,773,1162,,1975,171,187,,665,364,,,1577,3200,,1374,1093,159
"12/04/2013",370,383,,1477,,,2044,786,1164,,1919,171,192,,623,370,,,1570,3200,,1345,1143,160
"12/05/2013",373,399,,1525,,,2110,807,1172,,2047,227,194,,669,376,,,1655,3200,,1391,1169,168
"12/06/2013",378,402,,1528,,,2103,809,1170,,2041,235,208,,674,384,,,1653,3175,,1380,1169,167
"12/07/2013",357,369,,1331,,,1568,442,900,,1405,156,184,,593,327,,,1302,2548,,1079,800,118
"12/08/2013",357,384,,1498,,,1972,708,1114,,1863,208,192,,670,372,,,1597,2806,,1297,1041,158
"12/09/2013",365,402,,1523,,,2093,812,1172,,2043,234,195,,663,344,,,1632,3206,,1389,1033,164
"12/10/2013",367,376,,1478,,,1991,745,1162,,1931,170,189,,613,336,,,1524,3206,,1301,1014,158
"12/11/2013",352,381,,1477,,,2044,791,1164,,1932,172,193,,618,376,,,1570,3206,,1325,1142,160
"12/12/2013",367,399,,1525,,,2111,816,1172,,2042,228,195,,672,380,,,1657,3206,,1395,1169,170
"12/13/2013",373,402,,1528,,,2112,809,1170,,2043,235,212,,677,386,,,1655,3206,,1383,1169,168
"12/14/2013",354,373,,1331,,,1575,442,900,,1403,142,188,,601,327,,,1307,2556,,1085,800,118
"12/15/2013",361,386,,1498,,,1977,709,1114,,1861,209,194,,678,372,,,1600,2802,,1310,1047,154
"12/16/2013",361,404,,1523,,,2099,813,1172,,2041,233,196,,674,342,,,1636,3204,,1395,1035,164
"12/17/2013",365,376,,1478,,,1989,747,1162,,1926,220,190,,640,336,,,1524,3204,,1311,1016,158
"12/18/2013",366,385,,1476,,,2068,799,1161,,1941,221,194,,668,378,,,1563,3204,,1331,1162,160
"12/19/2013",375,434,,1537,,,2129,841,1174,,2097,237,196,,694,415,,,1778,3204,,1445,1220,175
"12/20/2013",435,443,,1544,,,2124,834,1170,,2113,243,211,,731,424,,,1788,3388,,1434,1253,174
"12/21/2013",429,420,,1356,,,1915,825,903,,1876,185,188,,701,407,,,1713,3110,,1267,1069,169
"12/22/2013",366,426,,1517,,,1873,577,1115,,1887,215,195,,733,415,,,1669,2804,,1353,1159,173
"12/23/2013",364,437,,1540,,,1832,548,1173,,2023,242,196,,738,420,,,1684,3204,,1471,1222,176
"12/24/2013",321,395,,1340,,,1544,489,935,,1310,202,190,,714,360,,,1385,2424,,1097,970,139
"12/25/2013",327,355,,1351,,,1394,428,941,,1131,213,194,,705,382,,,1352,2406,,1095,956,157
"12/26/2013",435,435,,1536,,,2112,834,1165,,2065,227,196,,735,417,,,1787,3396,,1444,1174,176
"12/27/2013",438,441,,1544,,,2117,833,1170,,2122,240,211,,739,414,,,1792,3394,,1429,1191,174
"12/28/2013",426,416,,1356,,,1907,816,903,,1841,184,186,,710,401,,,1704,3116,,1279,1018,169
"12/29/2013",356,426,,1517,,,1865,591,1115,,1889,210,195,,741,411,,,1655,2810,,1353,1134,174
"12/30/2013",359,442,,1540,,,1834,552,1174,,2019,241,196,,738,418,,,1674,3210,,1466,1173,175
"12/31/2013",342,399,,1349,,,1557,503,940,,1373,181,190,,723,381,,,1436,2400,,1196,1068,134
"01/01/2014",334,404,,1466,,,1414,,1118,,1508,203,193,,732,,,,1554,2582,,1375,1071,168
"01/02/2014",361,441,,1541,,,2103,,1174,,2114,223,194,,740,,,,1792,3208,,1435,1187,176
"01/03/2014",370,442,,1544,,,2109,,1170,,2119,232,210,,737,,,,1795,3202,,1427,1195,174
"01/04/2014",347,419,,1356,,,1897,,904,,1834,172,186,,706,,,,1700,2554,,1264,1036,169
"01/05/2014",348,423,,1515,,,2099,,1114,,1983,200,194,,739,,,,1790,2810,,1349,1159,174
"01/06/2014",347,415,,1541,,,2058,,1172,,2105,231,194,,715,,,,1760,3173,,1456,1194,173
"01/07/2014",299,383,,1489,,,1887,,1161,,1896,154,188,,620,,,,1567,3120,,1218,1071,157
"01/08/2014",296,392,,1445,,,1944,,1135,,1921,159,192,,611,,,,1611,3120,,1240,1181,149
"01/09/2014",299,409,,1497,,,2045,,1152,,2055,204,194,,673,,,,1667,3120,,1319,1210,162
"01/10/2014",301,412,,1502,,,2049,,1150,,2047,210,210,,677,,,,1677,3120,,1314,1211,165
"01/11/2014",278,375,,1319,,,1489,,891,,1268,119,186,,581,,,,1359,2259,,994,925,108
"01/12/2014",281,394,,1472,,,1921,,1091,,1813,185,192,,662,,,,1648,2661,,1217,1072,155
"01/13/2014",296,410,,1492,,,2024,,1152,,2048,220,194,,671,,,,1677,3120,,1303,1116,158
"01/14/2014",289,379,,1450,,,1876,,1137,,1883,154,188,,605,,,,1575,3120,,1217,1047,147
"01/15/2014",294,390,,1446,,,1927,,1137,,1912,155,192,,604,,,,1607,3120,,1241,1182,151
"01/16/2014",299,407,,1492,,,2030,,1152,,2054,204,194,,665,,,,1663,3120,,1321,1210,162
"01/17/2014",301,410,,1498,,,2036,,1150,,2060,211,210,,670,,,,1673,3120,,1317,1209,170
"01/18/2014",276,371,,1317,,,1417,,891,,1258,118,186,,574,,,,1351,2259,,992,925,108
"01/19/2014",281,373,,1470,,,1583,,1091,,1664,185,192,,656,,,,1562,2659,,1213,1042,154
"01/20/2014",296,407,,1490,,,1946,,1152,,2008,220,194,,666,,,,1664,3120,,1303,1092,158
"01/21/2014",299,379,,1449,,,1876,,1137,,1885,154,188,,599,,,,1575,3120,,1217,1048,147
"01/22/2014",288,390,,1448,,,1936,,1139,,1914,155,192,,594,,,,1613,3120,,1241,1182,151
"01/23/2014",300,407,,1494,,,2032,,1152,,2054,203,194,,658,,,,1676,3120,,1321,1210,162
"01/24/2014",301,410,,1500,,,2039,,1150,,2050,209,210,,665,,,,1684,3120,,1314,1209,166
"01/25/2014",275,373,,1317,,,1478,,891,,1274,120,186,,567,,,,1366,2257,,987,927,108
"01/26/2014",281,392,,1470,,,1919,,1091,,1815,185,192,,651,,,,1650,2661,,1214,1074,154
"01/27/2014",294,410,,1490,,,2023,,1152,,2052,220,193,,662,,,,1677,3120,,1304,1118,158
"01/28/2014",288,379,,1449,,,1877,,1137,,1888,154,186,,596,,,,1575,3120,,1218,1048,147
"01/29/2014",286,390,,1448,,,1935,,1137,,1915,156,191,,596,,,,1616,3120,,1246,1182,151
"01/30/2014",299,407,,1494,,,2030,,1152,,2057,209,194,,661,,,,1676,3120,,1328,1212,162
"01/31/2014",301,410,,1500,,,2031,,1150,,2054,212,210,,666,,,,1684,3119,,1320,1218,166
"02/01/2014",276,375,,1317,,,1362,,891,,1229,120,186,,568,,,,1340,2258,,989,933,108
"02/02/2014",283,393,,1470,,,1544,,1091,,1535,189,192,,648,,,,1487,2457,,1083,1076,154
"02/03/2014",298,411,,1490,,,2023,,1152,,2061,221,193,,665,,,,1675,3120,,1332,1125,158
"02/04/2014",297,379,,1449,,,1878,,1137,,1890,154,188,,600,,,,1575,3120,,1221,1048,147
"02/05/2014",299,390,,1448,,,1936,,1137,,1916,156,191,,596,,,,1618,3120,,1242,1182,149
"02/06/2014",300,407,,1494,,,2034,,1152,,2055,209,194,,661,,,,1676,3120,,1319,1210,162
"02/07/2014",303,412,,1500,,,2041,,1150,,2059,209,210,,663,,,,1684,3120,,1316,1209,171
"02/08/2014",278,376,,1317,,,1477,,891,,1262,105,186,,566,,,,1370,2259,,985,927,108
"02/09/2014",283,407,,1470,,,1922,,1091,,1818,190,192,,652,,,,1652,2661,,1214,1074,155
"02/10/2014",299,422,,1490,,,2026,,1152,,2052,223,193,,661,,,,1679,3120,,1304,1118,160
"02/11/2014",295,395,,1449,,,1878,,1135,,1884,157,188,,599,,,,1582,3120,,1219,1047,151
"02/12/2014",300,400,,1465,,,1936,,1143,,1925,160,191,,605,,,,1613,3120,,1266,1190,155
"02/13/2014",300,421,,1515,,,2050,,1158,,2120,214,194,,696,,,,1723,3190,,1443,1242,164
"02/14/2014",299,424,,1518,,,2138,,1158,,2131,213,210,,702,,,,1741,3256,,1434,1248,171
"02/15/2014",290,386,,1339,,,1531,,891,,1427,131,186,,644,,,,1380,2604,,1137,942,108
"02/16/2014",281,402,,1492,,,1744,,1095,,1757,193,192,,699,,,,1582,2869,,1295,1097,155
"02/17/2014",294,423,,1516,,,2118,,1158,,2129,220,194,,706,,,,1731,3260,,1439,1192,161
"02/18/2014",303,397,,1471,,,2006,,1145,,2078,159,188,,677,,,,1666,3260,,1364,1187,152
"02/19/2014",299,402,,1471,,,2076,,1145,,2074,205,192,,679,,,,1692,3260,,1384,1199,155
"02/20/2014",298,421,,1515,,,2139,,1158,,2132,216,194,,707,,,,1732,3260,,1452,1205,164
"02/21/2014",297,424,,1518,,,2141,,1158,,2128,214,210,,703,,,,1735,3258,,1438,1205,165
"02/22/2014",287,388,,1339,,,1586,,891,,1438,134,186,,643,,,,1405,2608,,1136,934,108
"02/23/2014",281,409,,1492,,,2033,,1095,,1925,193,192,,698,,,,1682,2869,,1328,1102,155
"02/24/2014",294,424,,1516,,,2128,,1158,,2131,220,193,,699,,,,1732,3258,,1442,1202,160
"02/25/2014",301,397,,1471,,,2007,,1145,,1941,157,188,,671,,,,1628,3258,,1326,1187,151
"02/26/2014",297,402,,1471,,,2072,,1145,,2073,205,191,,667,,,,1699,3258,,1382,1198,155
"02/27/2014",298,421,,1515,,,2137,,1158,,2128,215,194,,706,,,,1738,3258,,1452,1203,164
"02/28/2014",296,424,,1518,,,2138,,1158,,2136,213,210,,704,,,,1738,3260,,1437,1203,171
"03/01/2014",286,388,,1339,,,1604,,891,,1446,131,186,,635,,,,1403,2608,,1131,931,108
"03/02/2014",281,409,,1492,,,2182,,1095,,1960,193,192,,696,,,,1694,2869,,1317,1098,155
"03/03/2014",294,411,,1516,,,2245,,1158,,2153,221,193,,704,,,,1737,3260,,1429,1199,159
"03/04/2014",303,385,,1471,,,2194,,1145,,1990,157,186,,674,,,,1655,3260,,1320,1187,151
"03/05/2014",299,392,,1469,,,2217,,1144,,2092,205,191,,675,,,,1713,3260,,1380,1199,155
"03/06/2014",298,409,,1536,,,2258,,1181,,2125,214,194,,716,,,,1753,3260,,1446,1249,164
"03/07/2014",301,412,,1546,,,2260,,1180,,2115,212,210,,714,,,,1761,3260,,1432,1262,171
"03/08/2014",311,374,,1361,,,1836,,904,,1631,133,186,,642,,,,1556,2945,,1207,1007,108
"03/09/2014",296,416,,1520,,,2208,,1116,,2000,194,196,,706,,,,1738,3129,,1328,1157,155
"03/10/2014",307,434,,1541,,,2249,,1180,,2126,220,197,,715,,,,1757,3446,,1445,1206,160
"03/11/2014",309,413,,1491,,,2196,,1167,,2036,201,190,,688,,,,1718,3446,,1415,1176,151
"03/12/2014",311,420,,1497,,,2226,,1167,,2077,209,195,,689,,,,1729,3446,,1429,1199,155
"03/13/2014",306,433,,1541,,,2264,,1180,,2123,215,198,,718,,,,1764,3446,,1442,1261,162
"03/14/2014",296,434,,1546,,,2267,,1180,,2119,213,214,,719,,,,1766,3446,,1431,1262,170
"03/15/2014",299,405,,1360,,,1831,,904,,1641,132,190,,648,,,,1559,2990,,1204,1002,111
"03/16/2014",296,422,,1521,,,2212,,1116,,2000,195,196,,713,,,,1740,3129,,1327,1173,152
"03/17/2014",307,434,,1541,,,2260,,1180,,2126,221,197,,716,,,,1760,3446,,1447,1276,160
"03/18/2014",309,417,,1491,,,2210,,1167,,2038,203,190,,685,,,,1719,3446,,1416,1176,151
"03/19/2014",311,424,,1497,,,2233,,1167,,2078,209,195,,688,,,,1737,3446,,1429,1245,155
"03/20/2014",306,433,,1541,,,2274,,1180,,2124,214,198,,712,,,,1764,3446,,1442,1285,164
"03/21/2014",296,433,,1546,,,2277,,1180,,2122,215,214,,713,,,,1766,3446,,1430,1286,167
"03/22/2014",299,405,,1360,,,1841,,904,,1654,129,190,,641,,,,1555,2990,,1206,1002,118
"03/23/2014",296,423,,1521,,,2218,,1116,,2006,196,196,,706,,,,1737,3129,,1336,1149,153
"03/24/2014",307,434,,1541,,,2261,,1180,,2126,221,197,,710,,,,1754,3446,,1446,1206,160
"03/25/2014",309,417,,1491,,,2207,,1167,,2040,202,190,,685,,,,1715,3446,,1414,1176,158
"03/26/2014",307,424,,1497,,,2237,,1167,,2075,208,196,,687,,,,1729,3450,,1428,1199,160
"03/27/2014",302,433,,1541,,,2264,,1180,,2118,211,198,,713,,,,1764,3450,,1442,1261,169
"03/28/2014",289,432,,1546,,,2278,,1180,,2117,214,214,,713,,,,1766,3454,,1429,1262,169
"03/29/2014",291,407,,1360,,,1823,,904,,1641,136,191,,641,,,,1557,2996,,1197,1007,120
"03/30/2014",288,425,,1519,,,2217,,1116,,1998,195,196,,706,,,,1736,3137,,1317,1148,155
"03/31/2014",299,434,,1531,,,2244,,1173,,2117,221,197,,710,,,,1745,3454,,1430,1201,166
"04/01/2014",301,417,,1453,,,2238,,1154,,1913,205,190,,689,,,,1662,3454,,1324,1175,164
"04/02/2014",303,422,,1459,,,2271,,1170,,1947,206,195,,687,,,,1694,3454,,1319,1202,167
"04/03/2014",293,433,,1492,,,2275,,1188,,2066,215,198,,712,,,,1809,3454,,1398,1252,175
"04/04/2014",287,433,,1496,,,2295,,1188,,2080,219,214,,713,,,,1796,3454,,1402,1205,174
"04/05/2014",292,405,,1301,,,1840,,898,,1473,141,190,,639,,,,1459,2998,,1086,988,123
