Entity,Code,Day,total_boosters
Africa,,2023-03-30,82747231
Africa,,2023-03-31,82747231
Africa,,2023-04-01,82747231
Africa,,2023-04-02,84754758
Africa,,2023-04-03,84754758
Africa,,2023-04-04,84755297
Africa,,2023-04-05,84755297
Africa,,2023-04-06,84755297
Africa,,2023-04-07,84755297
Africa,,2023-04-08,84755297
Africa,,2023-04-09,85071105
Africa,,2023-04-10,85071105
Africa,,2023-04-11,85071245
Africa,,2023-04-12,85071245
Africa,,2023-04-13,85071245
Africa,,2023-04-14,85071245
Africa,,2023-04-15,85071245
Africa,,2023-04-16,85391471
Africa,,2023-04-17,85391471
Africa,,2023-04-18,85391766
Africa,,2023-04-19,85391766
Africa,,2023-04-20,85391766
Africa,,2023-04-21,85391766
Africa,,2023-04-22,85391766
Africa,,2023-04-23,85524417
Africa,,2023-04-24,85524417
Africa,,2023-04-25,85835864
Africa,,2023-04-26,85835864
Africa,,2023-04-27,85835864
Africa,,2023-04-28,85835864
Africa,,2023-04-29,85835864
Africa,,2023-04-30,85958008
Africa,,2023-05-01,85958008
Africa,,2023-05-02,85958008
Africa,,2023-05-03,85958625
Africa,,2023-05-04,85958625
Africa,,2023-05-05,85958625
Africa,,2023-05-06,85958625
Africa,,2023-05-07,86107720
Africa,,2023-05-08,86107720
Africa,,2023-05-09,86107844
Africa,,2023-05-10,86107844
Africa,,2023-05-11,86107844
Africa,,2023-05-12,86107844
Africa,,2023-05-13,86107844
Africa,,2023-05-14,86150123
Africa,,2023-05-15,86150123
Africa,,2023-05-16,86150251
Africa,,2023-05-17,86150251
Africa,,2023-05-18,86150251
Africa,,2023-05-19,86150251
Africa,,2023-05-20,86150251
Africa,,2023-05-21,86482060
Africa,,2023-05-22,86482060
Africa,,2023-05-23,86482424
Africa,,2023-05-24,86482424
Africa,,2023-05-25,86482424
Africa,,2023-05-26,86482424
Africa,,2023-05-27,86482424
Africa,,2023-05-28,89624508
Africa,,2023-05-29,89624508
Africa,,2023-05-30,89624637
Africa,,2023-05-31,89624637
Africa,,2023-06-01,89624637
Africa,,2023-06-02,89624637
Africa,,2023-06-03,89624637
Africa,,2023-06-04,89772199
Africa,,2023-06-05,89772199
Africa,,2023-06-06,89772254
Africa,,2023-06-07,89772254
Africa,,2023-06-08,89772254
